Title,Price,SKU#,Article-Code,Availability,Sizes,URL
BLACK EMBROIDERED DOBBY KURTI,"PKR 3,490.00",J-10000137248,JJLK-S-JSS-25-517 FB/ORNATE THREADS-03,In stock,"XS,S,M,L,XL",https://www.junaidjamshed.com/black-embroidered-dobby-kurti-jss25517s.html
BEIGE EMBROIDERED DOBBY KURTI,"PKR 3,490.00",J-10000137194,JJLK-S-JSS-25-519 FB/ORNATE THREADS-05,In stock,"XS,S,M,L,XL",https://www.junaidjamshed.com/beige-embroidered-dobby-kurti-jss25519s.html
PINK PRINTED LAWN KURTI,"PKR 2,690.00",J-10000151667,JJLK-S-JSS-25-520 FB/ESSENTIALS-61,In stock,"S,M,L,XL",https://www.junaidjamshed.com/pink-printed-lawn-kurti-jss25520s.html
MAGENTA EMBROIDERED DOBBY KURTI,"PKR 3,490.00",J-10000137892,JJLK-S-JSS-25-518 FB/ORNATE THREADS-04,In stock,"XS,S,M,L,XL",https://www.junaidjamshed.com/magenta-embroidered-dobby-kurti-jss25518s.html
PURPLE EMBROIDERED RAW SILK 2PC STITCHED,"PKR 5,690.00",J-10000152039,JGK-S-JTST-25-494 FB/LINEAR-02,In stock,"12 Years,14 Years,16 Years,18 Years",https://www.junaidjamshed.com/purple-embroidered-raw-silk-2pc-stitched-jtst25494s.html
OFF WHITE PRINTED LAWN KURTI,"PKR 2,690.00",J-10000151192,JJLK-S-JSS-25-521 FB/ESSENTIALS-62,In stock,"S,M,L,XL,XXL",https://www.junaidjamshed.com/off-white-printed-lawn-kurti-jss25521s.html
BLACK PRINTED LAWN KURTI,"PKR 2,690.00",J-10000151198,JJLK-S-JSS-25-522 FB/ESSENTIALS-63,In stock,"S,M,L,XL,XXL",https://www.junaidjamshed.com/black-printed-lawn-kurti-jss25522s.html
MUSTARD PRINTED LAWN KURTI,"PKR 2,690.00",J-10000151204,JJLK-S-JSS-25-523 FB/ESSENTIALS-64,In stock,"S,M,L,XL,XXL",https://www.junaidjamshed.com/mustard-printed-lawn-kurti-jss25523s.html
BLUE PRINTED LAWN TROUSERS,"PKR 1,790.00",J-10000154698,JGT-S-JTT-25-4083 FB/ESSENTIAL-T-28,In stock,"12 Years,14 Years,16 Years,18 Years",https://www.junaidjamshed.com/blue-printed-lawn-trousers-jtt254083.html
LEMON PRINTED LAWN KURTI,"PKR 2,690.00",J-10000151216,JJLK-S-JSS-25-525 FB/ESSENTIALS-66,In stock,"S,M,L,XL,XXL",https://www.junaidjamshed.com/lemon-printed-lawn-kurti-jss25525s.html
MAROON PRINTED LAWN KURTI,"PKR 2,690.00",J-10000151210,JJLK-S-JSS-25-524 FB/ESSENTIALS-65,In stock,"S,M,L,XL",https://www.junaidjamshed.com/maroon-printed-lawn-kurti-jss25524s.html
OFF WHITE PRINTED LAWN TROUSERS,"PKR 1,790.00",J-10000154710,JGT-S-JTT-25-4086 FB/ESSENTIAL-T-31,In stock,"12 Years,14 Years,16 Years,18 Years",https://www.junaidjamshed.com/off-white-printed-lawn-trousers-jtt254086.html
OFF WHITE BLENDED FORMAL KAMEEZ SHALWAR,"PKR 8,990.00",J-10000142475,JJKS-A-50196/S25/JJ10253-FL,In stock,"S,M,L,XL",https://www.junaidjamshed.com/off-white-blended-formal-kameez-shalwar-jjksa50196.html
BROWN BLENDED CAP,"PKR 2,190.00",J-10000115090,JJ-CAP-0047-R1/S25/JJ9664,In stock,S,https://www.junaidjamshed.com/brown-blended-cap-jjcap0047r1.html
BLUE BLENDED CAP,"PKR 2,190.00",J-10000108821,JJ-CAP-0038-R6/S25/JJ9664,In stock,S,https://www.junaidjamshed.com/blue-blended-cap-jjcap0038r6.html
